con.taxonomy,res.taxonomy,con.mass.mean.g.,res.mass.mean.g.,interaction.dimensionality
Bodo saltans,Amphidinium hadai,2.28e-13,4e-12,3D
Bodo saltans,Gyrodinium lachryama,2.28e-13,1.2e-10,3D
Amphidinium hadai,Amphidinium hadai,4e-12,4e-12,3D
Amphidinium hadai,Gyrodinium lachryama,4e-12,1.2e-10,3D
Gyrodinium lachryama,Amphidinium hadai,1.2e-10,4e-12,3D
Gyrodinium lachryama,Gyrodinium lachryama,1.2e-10,1.2e-10,3D
Parvicorbucula socialis,Actinocyclus actinochilus,3.3e-13,4.06e-11,2D
Parvicorbucula socialis,Actinocyclus spiritus,3.3e-13,1.64e-11,2D
Parvicorbucula socialis,Actinocyclus utricularis,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Azpeitia tabularis,3.3e-13,1.14e-11,2D
Parvicorbucula socialis,Banquisia belgicae,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros bulbosum,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros concavicornis,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros criophilum,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Chaetoceros dichaeta,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros flexuosum,3.3e-13,1.67e-12,2D
Parvicorbucula socialis,Chaetoceros neglectum,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Chaetoceros pelagicus,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Chaetoceros socialis,3.3e-13,1.71e-13,3D
Parvicorbucula socialis,Corethron criophilum,3.3e-13,4.01e-12,2D
Parvicorbucula socialis,Coscinodiscus oculoides,3.3e-13,1.59e-9,2D
Parvicorbucula socialis,Cylindrotheca closterium,3.3e-13,4.89e-11,3D
Parvicorbucula socialis,Eucampia antarctica,3.3e-13,7.29e-12,2D
Parvicorbucula socialis,Fragilariopsis curta,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Fragilariopsis cylindrus,3.3e-13,1.53e-14,2D
Parvicorbucula socialis,Fragilariopsis kerguelensis,3.3e-13,3.29e-13,2D
Parvicorbucula socialis,Fragilariopsis linearis,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis nana,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis obliquecostata,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis pseudonana,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Fragilariopsis rhombica,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis ritscheri,3.3e-13,4.53e-13,2D
Parvicorbucula socialis,Fragilariopsis separanda,3.3e-13,6.04e-13,2D
Parvicorbucula socialis,Fragilariopsis sublinearis,3.3e-13,1.5e-13,2D
Parvicorbucula socialis,Fragilariopsis vanheurckii,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Manguinea fusiformis,3.3e-13,1.97e-10,2D
Parvicorbucula socialis,Manguinea rigida,3.3e-13,9.1e-12,2D
Parvicorbucula socialis,Navicula glaciei,3.3e-13,2.26e-14,2D
Parvicorbucula socialis,Navicula schefterae,3.3e-13,2.26e-14,2D
Parvicorbucula socialis,Nitzschia kerguelensis,3.3e-13,5.73e-12,2D
Parvicorbucula socialis,Nitzschia lecointei,3.3e-13,4.63e-11,2D
Parvicorbucula socialis,Nitzschia neglecta,3.3e-13,9.11e-14,2D
Parvicorbucula socialis,Odontella weissflogii,3.3e-13,5.73e-12,2D
Parvicorbucula socialis,Porosira glacialis,3.3e-13,2.94e-11,2D
Parvicorbucula socialis,Porosira pseudodenticulata,3.3e-13,9.81e-11,2D
Parvicorbucula socialis,Proboscia alata,3.3e-13,1.51e-12,2D
Parvicorbucula socialis,Proboscia inermi,3.3e-13,9.94e-13,2D
Parvicorbucula socialis,Proboscia truncata,3.3e-13,1.21e-11,2D
Parvicorbucula socialis,Pseudo-Nitzschia heimii,3.3e-13,1.77e-10,2D
Parvicorbucula socialis,Pseudo-Nitzschia liniola,3.3e-13,8.13e-10,2D
Parvicorbucula socialis,Pseudo-Nitzschia prolongatoides,3.3e-13,3.74e-12,2D
Parvicorbucula socialis,Pseudo-Nitzschia subcurvata,3.3e-13,2.22e-10,2D
Parvicorbucula socialis,Rhizosolenia antennata,3.3e-13,7.78e-12,2D
Parvicorbucula socialis,Stellarima microtrias,3.3e-13,1.01e-10,2D
Parvicorbucula socialis,Thalassiosira antarctica,3.3e-13,1.14e-11,3D
Parvicorbucula socialis,Thalassiosira australis,3.3e-13,2.57e-12,2D
Parvicorbucula socialis,Thalassiosira frenguelliopsis,3.3e-13,3.54e-12,2D
Parvicorbucula socialis,Thalassiosira gracilis,3.3e-13,2.57e-12,2D
Parvicorbucula socialis,Thalassiosira gracilis expecta,3.3e-13,1.92e-11,2D
Parvicorbucula socialis,Thalassiosira gravida,3.3e-13,5.2e-12,2D
Parvicorbucula socialis,Thalassiosira lentiginosa,3.3e-13,6.35e-11,2D
Parvicorbucula socialis,Thalassiosira ritscheri,3.3e-13,6.44e-11,2D
Parvicorbucula socialis,Thalassiosira trifulta,3.3e-13,5.87e-12,2D
Parvicorbucula socialis,Thalassiosira tumida,3.3e-13,6.54e-11,2D
Parvicorbucula socialis,Trichotoxon reinboldii,3.3e-13,2.71e-13,2D
Parvicorbucula socialis,Phytodetritus,3.3e-13,-999,2D
Parvicorbucula socialis,Sediment,3.3e-13,-999,2D
Cassidulinoides parkerianus,Actinocyclus actinochilus,1.2e-9,4.06e-11,2D
Cassidulinoides parkerianus,Actinocyclus spiritus,1.2e-9,1.64e-11,2D
Cassidulinoides parkerianus,Actinocyclus utricularis,1.2e-9,4.01e-12,2D
Cassidulinoides parkerianus,Azpeitia tabularis,1.2e-9,1.14e-11,2D
Cassidulinoides parkerianus,Banquisia belgicae,1.2e-9,4.01e-12,2D
Cassidulinoides parkerianus,Chaetoceros bulbosum,1.2e-9,6.04e-13,2D
Cassidulinoides parkerianus,Chaetoceros concavicornis,1.2e-9,4.01e-12,2D
Cassidulinoides parkerianus,Chaetoceros criophilum,1.2e-9,4.01e-12,2D
Cassidulinoides parkerianus,Chaetoceros dichaeta,1.2e-9,6.04e-13,2D
Cassidulinoides parkerianus,Chaetoceros flexuosum,1.2e-9,1.67e-12,2D
Cassidulinoides parkerianus,Chaetoceros neglectum,1.2e-9,9.11e-14,2D
Cassidulinoides parkerianus,Chaetoceros pelagicus,1.2e-9,6.04e-13,2D
Cassidulinoides parkerianus,Chaetoceros socialis,1.2e-9,1.71e-13,3D
Cassidulinoides parkerianus,Corethron criophilum,1.2e-9,4.01e-12,2D
Cassidulinoides parkerianus,Coscinodiscus oculoides,1.2e-9,1.59e-9,2D
Cassidulinoides parkerianus,Cylindrotheca closterium,1.2e-9,4.89e-11,3D
Cassidulinoides parkerianus,Eucampia antarctica,1.2e-9,7.29e-12,2D
Cassidulinoides parkerianus,Fragilariopsis curta,1.2e-9,9.11e-14,2D
Cassidulinoides parkerianus,Fragilariopsis cylindrus,1.2e-9,1.53e-14,2D
Cassidulinoides parkerianus,Fragilariopsis kerguelensis,1.2e-9,3.29e-13,2D
Cassidulinoides parkerianus,Fragilariopsis linearis,1.2e-9,4.53e-13,2D
Cassidulinoides parkerianus,Fragilariopsis nana,1.2e-9,4.53e-13,2D
Cassidulinoides parkerianus,Fragilariopsis obliquecostata,1.2e-9,4.53e-13,2D
Cassidulinoides parkerianus,Fragilariopsis pseudonana,1.2e-9,9.11e-14,2D
Cassidulinoides parkerianus,Fragilariopsis rhombica,1.2e-9,4.53e-13,2D
Cassidulinoides parkerianus,Fragilariopsis ritscheri,1.2e-9,4.53e-13,2D
Cassidulinoides parkerianus,Fragilariopsis separanda,1.2e-9,6.04e-13,2D
Cassidulinoides parkerianus,Fragilariopsis sublinearis,1.2e-9,1.5e-13,2D
Cassidulinoides parkerianus,Fragilariopsis vanheurckii,1.2e-9,9.11e-14,2D
Cassidulinoides parkerianus,Manguinea fusiformis,1.2e-9,1.97e-10,2D
Cassidulinoides parkerianus,Manguinea rigida,1.2e-9,9.1e-12,2D
Cassidulinoides parkerianus,Navicula glaciei,1.2e-9,2.26e-14,2D
Cassidulinoides parkerianus,Navicula schefterae,1.2e-9,2.26e-14,2D
Cassidulinoides parkerianus,Nitzschia kerguelensis,1.2e-9,5.73e-12,2D
Cassidulinoides parkerianus,Nitzschia lecointei,1.2e-9,4.63e-11,2D
Cassidulinoides parkerianus,Nitzschia neglecta,1.2e-9,9.11e-14,2D
Cassidulinoides parkerianus,Odontella weissflogii,1.2e-9,5.73e-12,2D
Cassidulinoides parkerianus,Porosira glacialis,1.2e-9,2.94e-11,2D
Cassidulinoides parkerianus,Porosira pseudodenticulata,1.2e-9,9.81e-11,2D
Cassidulinoides parkerianus,Proboscia alata,1.2e-9,1.51e-12,2D
Cassidulinoides parkerianus,Proboscia inermi,1.2e-9,9.94e-13,2D
Cassidulinoides parkerianus,Proboscia truncata,1.2e-9,1.21e-11,2D
Cassidulinoides parkerianus,Pseudo-Nitzschia heimii,1.2e-9,1.77e-10,2D
Cassidulinoides parkerianus,Pseudo-Nitzschia liniola,1.2e-9,8.13e-10,2D
Cassidulinoides parkerianus,Pseudo-Nitzschia prolongatoides,1.2e-9,3.74e-12,2D
Cassidulinoides parkerianus,Pseudo-Nitzschia subcurvata,1.2e-9,2.22e-10,2D
Cassidulinoides parkerianus,Rhizosolenia antennata,1.2e-9,7.78e-12,2D
Cassidulinoides parkerianus,Stellarima microtrias,1.2e-9,1.01e-10,2D
Cassidulinoides parkerianus,Thalassiosira antarctica,1.2e-9,1.14e-11,3D
Cassidulinoides parkerianus,Thalassiosira australis,1.2e-9,2.57e-12,2D
Cassidulinoides parkerianus,Thalassiosira frenguelliopsis,1.2e-9,3.54e-12,2D
Cassidulinoides parkerianus,Thalassiosira gracilis,1.2e-9,2.57e-12,2D
Cassidulinoides parkerianus,Thalassiosira gracilis expecta,1.2e-9,1.92e-11,2D
Cassidulinoides parkerianus,Thalassiosira gravida,1.2e-9,5.2e-12,2D
Cassidulinoides parkerianus,Thalassiosira lentiginosa,1.2e-9,6.35e-11,2D
Cassidulinoides parkerianus,Thalassiosira ritscheri,1.2e-9,6.44e-11,2D
Cassidulinoides parkerianus,Thalassiosira trifulta,1.2e-9,5.87e-12,2D
Cassidulinoides parkerianus,Thalassiosira tumida,1.2e-9,6.54e-11,2D
Cassidulinoides parkerianus,Trichotoxon reinboldii,1.2e-9,2.71e-13,2D
Cassidulinoides parkerianus,Phytodetritus,1.2e-9,-999,2D
Cassidulinoides parkerianus,Sediment,1.2e-9,-999,2D
Cibicides refulgens,Actinocyclus actinochilus,1.2e-9,4.06e-11,2D
Cibicides refulgens,Actinocyclus spiritus,1.2e-9,1.64e-11,2D
Cibicides refulgens,Actinocyclus utricularis,1.2e-9,4.01e-12,2D
Cibicides refulgens,Azpeitia tabularis,1.2e-9,1.14e-11,2D
Cibicides refulgens,Banquisia belgicae,1.2e-9,4.01e-12,2D
Cibicides refulgens,Chaetoceros bulbosum,1.2e-9,6.04e-13,2D
Cibicides refulgens,Chaetoceros concavicornis,1.2e-9,4.01e-12,2D
Cibicides refulgens,Chaetoceros criophilum,1.2e-9,4.01e-12,2D
Cibicides refulgens,Chaetoceros dichaeta,1.2e-9,6.04e-13,2D
Cibicides refulgens,Chaetoceros flexuosum,1.2e-9,1.67e-12,2D
Cibicides refulgens,Chaetoceros neglectum,1.2e-9,9.11e-14,2D
Cibicides refulgens,Chaetoceros pelagicus,1.2e-9,6.04e-13,2D
Cibicides refulgens,Chaetoceros socialis,1.2e-9,1.71e-13,3D
Cibicides refulgens,Corethron criophilum,1.2e-9,4.01e-12,2D
Cibicides refulgens,Coscinodiscus oculoides,1.2e-9,1.59e-9,2D
Cibicides refulgens,Cylindrotheca closterium,1.2e-9,4.89e-11,3D
Cibicides refulgens,Eucampia antarctica,1.2e-9,7.29e-12,2D
Cibicides refulgens,Fragilariopsis curta,1.2e-9,9.11e-14,2D
Cibicides refulgens,Fragilariopsis cylindrus,1.2e-9,1.53e-14,2D
Cibicides refulgens,Fragilariopsis kerguelensis,1.2e-9,3.29e-13,2D
Cibicides refulgens,Fragilariopsis linearis,1.2e-9,4.53e-13,2D
Cibicides refulgens,Fragilariopsis nana,1.2e-9,4.53e-13,2D
Cibicides refulgens,Fragilariopsis obliquecostata,1.2e-9,4.53e-13,2D
Cibicides refulgens,Fragilariopsis pseudonana,1.2e-9,9.11e-14,2D
Cibicides refulgens,Fragilariopsis rhombica,1.2e-9,4.53e-13,2D
Cibicides refulgens,Fragilariopsis ritscheri,1.2e-9,4.53e-13,2D
Cibicides refulgens,Fragilariopsis separanda,1.2e-9,6.04e-13,2D
Cibicides refulgens,Fragilariopsis sublinearis,1.2e-9,1.5e-13,2D
Cibicides refulgens,Fragilariopsis vanheurckii,1.2e-9,9.11e-14,2D
Cibicides refulgens,Manguinea fusiformis,1.2e-9,1.97e-10,2D
Cibicides refulgens,Manguinea rigida,1.2e-9,9.1e-12,2D
Cibicides refulgens,Navicula glaciei,1.2e-9,2.26e-14,2D
Cibicides refulgens,Navicula schefterae,1.2e-9,2.26e-14,2D
Cibicides refulgens,Nitzschia kerguelensis,1.2e-9,5.73e-12,2D
Cibicides refulgens,Nitzschia lecointei,1.2e-9,4.63e-11,2D
Cibicides refulgens,Nitzschia neglecta,1.2e-9,9.11e-14,2D
Cibicides refulgens,Odontella weissflogii,1.2e-9,5.73e-12,2D
Cibicides refulgens,Porosira glacialis,1.2e-9,2.94e-11,2D
Cibicides refulgens,Porosira pseudodenticulata,1.2e-9,9.81e-11,2D
Cibicides refulgens,Proboscia alata,1.2e-9,1.51e-12,2D
Cibicides refulgens,Proboscia inermi,1.2e-9,9.94e-13,2D
Cibicides refulgens,Proboscia truncata,1.2e-9,1.21e-11,2D
Cibicides refulgens,Pseudo-Nitzschia heimii,1.2e-9,1.77e-10,2D
Cibicides refulgens,Pseudo-Nitzschia liniola,1.2e-9,8.13e-10,2D
Cibicides refulgens,Pseudo-Nitzschia prolongatoides,1.2e-9,3.74e-12,2D
Cibicides refulgens,Pseudo-Nitzschia subcurvata,1.2e-9,2.22e-10,2D
Cibicides refulgens,Rhizosolenia antennata,1.2e-9,7.78e-12,2D
Cibicides refulgens,Stellarima microtrias,1.2e-9,1.01e-10,2D
Cibicides refulgens,Thalassiosira antarctica,1.2e-9,1.14e-11,3D
Cibicides refulgens,Thalassiosira australis,1.2e-9,2.57e-12,2D
Cibicides refulgens,Thalassiosira frenguelliopsis,1.2e-9,3.54e-12,2D
Cibicides refulgens,Thalassiosira gracilis,1.2e-9,2.57e-12,2D
Cibicides refulgens,Thalassiosira gracilis expecta,1.2e-9,1.92e-11,2D
Cibicides refulgens,Thalassiosira gravida,1.2e-9,5.2e-12,2D
Cibicides refulgens,Thalassiosira lentiginosa,1.2e-9,6.35e-11,2D
Cibicides refulgens,Thalassiosira ritscheri,1.2e-9,6.44e-11,2D
Cibicides refulgens,Thalassiosira trifulta,1.2e-9,5.87e-12,2D
Cibicides refulgens,Thalassiosira tumida,1.2e-9,6.54e-11,2D
Cibicides refulgens,Trichotoxon reinboldii,1.2e-9,2.71e-13,2D
Cibicides refulgens,Phytodetritus,1.2e-9,-999,2D
Cibicides refulgens,Sediment,1.2e-9,-999,2D
Globocassidulina crassa,Actinocyclus actinochilus,1.2e-9,4.06e-11,2D
Globocassidulina crassa,Actinocyclus spiritus,1.2e-9,1.64e-11,2D
Globocassidulina crassa,Actinocyclus utricularis,1.2e-9,4.01e-12,2D
Globocassidulina crassa,Azpeitia tabularis,1.2e-9,1.14e-11,2D
Globocassidulina crassa,Banquisia belgicae,1.2e-9,4.01e-12,2D
Globocassidulina crassa,Chaetoceros bulbosum,1.2e-9,6.04e-13,2D
Globocassidulina crassa,Chaetoceros concavicornis,1.2e-9,4.01e-12,2D
Globocassidulina crassa,Chaetoceros criophilum,1.2e-9,4.01e-12,2D
Globocassidulina crassa,Chaetoceros dichaeta,1.2e-9,6.04e-13,2D
Globocassidulina crassa,Chaetoceros flexuosum,1.2e-9,1.67e-12,2D
Globocassidulina crassa,Chaetoceros neglectum,1.2e-9,9.11e-14,2D
Globocassidulina crassa,Chaetoceros pelagicus,1.2e-9,6.04e-13,2D
Globocassidulina crassa,Chaetoceros socialis,1.2e-9,1.71e-13,3D
Globocassidulina crassa,Corethron criophilum,1.2e-9,4.01e-12,2D
Globocassidulina crassa,Coscinodiscus oculoides,1.2e-9,1.59e-9,2D
Globocassidulina crassa,Cylindrotheca closterium,1.2e-9,4.89e-11,3D
Globocassidulina crassa,Eucampia antarctica,1.2e-9,7.29e-12,2D
Globocassidulina crassa,Fragilariopsis curta,1.2e-9,9.11e-14,2D
Globocassidulina crassa,Fragilariopsis cylindrus,1.2e-9,1.53e-14,2D
Globocassidulina crassa,Fragilariopsis kerguelensis,1.2e-9,3.29e-13,2D
Globocassidulina crassa,Fragilariopsis linearis,1.2e-9,4.53e-13,2D
Globocassidulina crassa,Fragilariopsis nana,1.2e-9,4.53e-13,2D
Globocassidulina crassa,Fragilariopsis obliquecostata,1.2e-9,4.53e-13,2D
Globocassidulina crassa,Fragilariopsis pseudonana,1.2e-9,9.11e-14,2D
Globocassidulina crassa,Fragilariopsis rhombica,1.2e-9,4.53e-13,2D
Globocassidulina crassa,Fragilariopsis ritscheri,1.2e-9,4.53e-13,2D
Globocassidulina crassa,Fragilariopsis separanda,1.2e-9,6.04e-13,2D
Globocassidulina crassa,Fragilariopsis sublinearis,1.2e-9,1.5e-13,2D
Globocassidulina crassa,Fragilariopsis vanheurckii,1.2e-9,9.11e-14,2D
Globocassidulina crassa,Manguinea fusiformis,1.2e-9,1.97e-10,2D
Globocassidulina crassa,Manguinea rigida,1.2e-9,9.1e-12,2D
Globocassidulina crassa,Navicula glaciei,1.2e-9,2.26e-14,2D
Globocassidulina crassa,Navicula schefterae,1.2e-9,2.26e-14,2D
Globocassidulina crassa,Nitzschia kerguelensis,1.2e-9,5.73e-12,2D
Globocassidulina crassa,Nitzschia lecointei,1.2e-9,4.63e-11,2D
Globocassidulina crassa,Nitzschia neglecta,1.2e-9,9.11e-14,2D
Globocassidulina crassa,Odontella weissflogii,1.2e-9,5.73e-12,2D
Globocassidulina crassa,Porosira glacialis,1.2e-9,2.94e-11,2D
Globocassidulina crassa,Porosira pseudodenticulata,1.2e-9,9.81e-11,2D
Globocassidulina crassa,Proboscia alata,1.2e-9,1.51e-12,2D
Globocassidulina crassa,Proboscia inermi,1.2e-9,9.94e-13,2D
Globocassidulina crassa,Proboscia truncata,1.2e-9,1.21e-11,2D
Globocassidulina crassa,Pseudo-Nitzschia heimii,1.2e-9,1.77e-10,2D
Globocassidulina crassa,Pseudo-Nitzschia liniola,1.2e-9,8.13e-10,2D
Globocassidulina crassa,Pseudo-Nitzschia prolongatoides,1.2e-9,3.74e-12,2D
Globocassidulina crassa,Pseudo-Nitzschia subcurvata,1.2e-9,2.22e-10,2D
Globocassidulina crassa,Rhizosolenia antennata,1.2e-9,7.78e-12,2D
Globocassidulina crassa,Stellarima microtrias,1.2e-9,1.01e-10,2D
Globocassidulina crassa,Thalassiosira antarctica,1.2e-9,1.14e-11,3D
Globocassidulina crassa,Thalassiosira australis,1.2e-9,2.57e-12,2D
Globocassidulina crassa,Thalassiosira frenguelliopsis,1.2e-9,3.54e-12,2D
Globocassidulina crassa,Thalassiosira gracilis,1.2e-9,2.57e-12,2D
Globocassidulina crassa,Thalassiosira gracilis expecta,1.2e-9,1.92e-11,2D
Globocassidulina crassa,Thalassiosira gravida,1.2e-9,5.2e-12,2D
Globocassidulina crassa,Thalassiosira lentiginosa,1.2e-9,6.35e-11,2D
Globocassidulina crassa,Thalassiosira ritscheri,1.2e-9,6.44e-11,2D
Globocassidulina crassa,Thalassiosira trifulta,1.2e-9,5.87e-12,2D
Globocassidulina crassa,Thalassiosira tumida,1.2e-9,6.54e-11,2D
Globocassidulina crassa,Trichotoxon reinboldii,1.2e-9,2.71e-13,2D
Globocassidulina crassa,Phytodetritus,1.2e-9,-999,2D
Globocassidulina crassa,Sediment,1.2e-9,-999,2D
Lenticulina antarctica,Actinocyclus actinochilus,1.2e-9,4.06e-11,2D
Lenticulina antarctica,Actinocyclus spiritus,1.2e-9,1.64e-11,2D
Lenticulina antarctica,Actinocyclus utricularis,1.2e-9,4.01e-12,2D
Lenticulina antarctica,Azpeitia tabularis,1.2e-9,1.14e-11,2D
Lenticulina antarctica,Banquisia belgicae,1.2e-9,4.01e-12,2D
Lenticulina antarctica,Chaetoceros bulbosum,1.2e-9,6.04e-13,2D
Lenticulina antarctica,Chaetoceros concavicornis,1.2e-9,4.01e-12,2D
Lenticulina antarctica,Chaetoceros criophilum,1.2e-9,4.01e-12,2D
Lenticulina antarctica,Chaetoceros dichaeta,1.2e-9,6.04e-13,2D
Lenticulina antarctica,Chaetoceros flexuosum,1.2e-9,1.67e-12,2D
Lenticulina antarctica,Chaetoceros neglectum,1.2e-9,9.11e-14,2D
Lenticulina antarctica,Chaetoceros pelagicus,1.2e-9,6.04e-13,2D
Lenticulina antarctica,Chaetoceros socialis,1.2e-9,1.71e-13,3D
Lenticulina antarctica,Corethron criophilum,1.2e-9,4.01e-12,2D
Lenticulina antarctica,Coscinodiscus oculoides,1.2e-9,1.59e-9,2D
Lenticulina antarctica,Cylindrotheca closterium,1.2e-9,4.89e-11,3D
Lenticulina antarctica,Eucampia antarctica,1.2e-9,7.29e-12,2D
Lenticulina antarctica,Fragilariopsis curta,1.2e-9,9.11e-14,2D
Lenticulina antarctica,Fragilariopsis cylindrus,1.2e-9,1.53e-14,2D
Lenticulina antarctica,Fragilariopsis kerguelensis,1.2e-9,3.29e-13,2D
Lenticulina antarctica,Fragilariopsis linearis,1.2e-9,4.53e-13,2D
Lenticulina antarctica,Fragilariopsis nana,1.2e-9,4.53e-13,2D
Lenticulina antarctica,Fragilariopsis obliquecostata,1.2e-9,4.53e-13,2D
Lenticulina antarctica,Fragilariopsis pseudonana,1.2e-9,9.11e-14,2D
Lenticulina antarctica,Fragilariopsis rhombica,1.2e-9,4.53e-13,2D
Lenticulina antarctica,Fragilariopsis ritscheri,1.2e-9,4.53e-13,2D
Lenticulina antarctica,Fragilariopsis separanda,1.2e-9,6.04e-13,2D
Lenticulina antarctica,Fragilariopsis sublinearis,1.2e-9,1.5e-13,2D
Lenticulina antarctica,Fragilariopsis vanheurckii,1.2e-9,9.11e-14,2D
Lenticulina antarctica,Manguinea fusiformis,1.2e-9,1.97e-10,2D
Lenticulina antarctica,Manguinea rigida,1.2e-9,9.1e-12,2D
Lenticulina antarctica,Navicula glaciei,1.2e-9,2.26e-14,2D
Lenticulina antarctica,Navicula schefterae,1.2e-9,2.26e-14,2D
Lenticulina antarctica,Nitzschia kerguelensis,1.2e-9,5.73e-12,2D
Lenticulina antarctica,Nitzschia lecointei,1.2e-9,4.63e-11,2D
Lenticulina antarctica,Nitzschia neglecta,1.2e-9,9.11e-14,2D
Lenticulina antarctica,Odontella weissflogii,1.2e-9,5.73e-12,2D
Lenticulina antarctica,Porosira glacialis,1.2e-9,2.94e-11,2D
Lenticulina antarctica,Porosira pseudodenticulata,1.2e-9,9.81e-11,2D
Lenticulina antarctica,Proboscia alata,1.2e-9,1.51e-12,2D
Lenticulina antarctica,Proboscia inermi,1.2e-9,9.94e-13,2D
Lenticulina antarctica,Proboscia truncata,1.2e-9,1.21e-11,2D
Lenticulina antarctica,Pseudo-Nitzschia heimii,1.2e-9,1.77e-10,2D
Lenticulina antarctica,Pseudo-Nitzschia liniola,1.2e-9,8.13e-10,2D
Lenticulina antarctica,Pseudo-Nitzschia prolongatoides,1.2e-9,3.74e-12,2D
Lenticulina antarctica,Pseudo-Nitzschia subcurvata,1.2e-9,2.22e-10,2D
Lenticulina antarctica,Rhizosolenia antennata,1.2e-9,7.78e-12,2D
Lenticulina antarctica,Stellarima microtrias,1.2e-9,1.01e-10,2D
Lenticulina antarctica,Thalassiosira antarctica,1.2e-9,1.14e-11,3D
Lenticulina antarctica,Thalassiosira australis,1.2e-9,2.57e-12,2D
Lenticulina antarctica,Thalassiosira frenguelliopsis,1.2e-9,3.54e-12,2D
Lenticulina antarctica,Thalassiosira gracilis,1.2e-9,2.57e-12,2D
Lenticulina antarctica,Thalassiosira gracilis expecta,1.2e-9,1.92e-11,2D
Lenticulina antarctica,Thalassiosira gravida,1.2e-9,5.2e-12,2D
Lenticulina antarctica,Thalassiosira lentiginosa,1.2e-9,6.35e-11,2D
Lenticulina antarctica,Thalassiosira ritscheri,1.2e-9,6.44e-11,2D
Lenticulina antarctica,Thalassiosira trifulta,1.2e-9,5.87e-12,2D
Lenticulina antarctica,Thalassiosira tumida,1.2e-9,6.54e-11,2D
Lenticulina antarctica,Trichotoxon reinboldii,1.2e-9,2.71e-13,2D
Lenticulina antarctica,Phytodetritus,1.2e-9,-999,2D
Lenticulina antarctica,Sediment,1.2e-9,-999,2D
Neogloboquadriana pachyderma,Actinocyclus actinochilus,1.2e-9,4.06e-11,2D
Neogloboquadriana pachyderma,Actinocyclus spiritus,1.2e-9,1.64e-11,2D
Neogloboquadriana pachyderma,Actinocyclus utricularis,1.2e-9,4.01e-12,2D
Neogloboquadriana pachyderma,Azpeitia tabularis,1.2e-9,1.14e-11,2D
Neogloboquadriana pachyderma,Banquisia belgicae,1.2e-9,4.01e-12,2D
Neogloboquadriana pachyderma,Chaetoceros bulbosum,1.2e-9,6.04e-13,2D
Neogloboquadriana pachyderma,Chaetoceros concavicornis,1.2e-9,4.01e-12,2D
Neogloboquadriana pachyderma,Chaetoceros criophilum,1.2e-9,4.01e-12,2D
Neogloboquadriana pachyderma,Chaetoceros dichaeta,1.2e-9,6.04e-13,2D
Neogloboquadriana pachyderma,Chaetoceros flexuosum,1.2e-9,1.67e-12,2D
Neogloboquadriana pachyderma,Chaetoceros neglectum,1.2e-9,9.11e-14,2D
Neogloboquadriana pachyderma,Chaetoceros pelagicus,1.2e-9,6.04e-13,2D
Neogloboquadriana pachyderma,Chaetoceros socialis,1.2e-9,1.71e-13,3D
Neogloboquadriana pachyderma,Corethron criophilum,1.2e-9,4.01e-12,2D
Neogloboquadriana pachyderma,Coscinodiscus oculoides,1.2e-9,1.59e-9,2D
Neogloboquadriana pachyderma,Cylindrotheca closterium,1.2e-9,4.89e-11,3D
Neogloboquadriana pachyderma,Eucampia antarctica,1.2e-9,7.29e-12,2D
Neogloboquadriana pachyderma,Fragilariopsis curta,1.2e-9,9.11e-14,2D
Neogloboquadriana pachyderma,Fragilariopsis cylindrus,1.2e-9,1.53e-14,2D
Neogloboquadriana pachyderma,Fragilariopsis kerguelensis,1.2e-9,3.29e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis linearis,1.2e-9,4.53e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis nana,1.2e-9,4.53e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis obliquecostata,1.2e-9,4.53e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis pseudonana,1.2e-9,9.11e-14,2D
Neogloboquadriana pachyderma,Fragilariopsis rhombica,1.2e-9,4.53e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis ritscheri,1.2e-9,4.53e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis separanda,1.2e-9,6.04e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis sublinearis,1.2e-9,1.5e-13,2D
Neogloboquadriana pachyderma,Fragilariopsis vanheurckii,1.2e-9,9.11e-14,2D
Neogloboquadriana pachyderma,Manguinea fusiformis,1.2e-9,1.97e-10,2D
